3319;CHA ABACATEIRO FOLHA 1KG                   ;7.8;11.7;0.5;100;1006
3320;CHA ABUTUA CASCA 1KG                       ;19;28.5;0.5;100;1006
3321;CHA ABUTUA RASURADO 1KG                    ;15.6;15.6;0;0;1006
3322;CHA ALECRIM 1KG                            ;16.95;25.425;0.5;100;1006
3323;CHA ALFAVACA 1KG                           ;13.1;19.65;0.5;100;1006
3324;CHA AMORA 1KG                              ;10.4;15.6;0.5;100;1006
3325;CHA AMORA MIURA 1KG                           ;6.5;6.5;0;0;1006
3326;CHA ANIZ ESTRELADO 1KG                       ;141.05;141.05;0;0;1006
3327;CHA ARNICA 1KG                               ;10.4;15.6;0.5;100;1006
3328;CHA AROEIRA CASCA 1KG                         ;9.1;13.65;0.5;100;1006
3329;CHA AROEIRA FOLHAS 1KG                        ;8.9;8.9;0;0;1006
3330;CHA ARRUDA                                   ;18.2;18.2;0;0;1006
3331;CHA ARTEMISIA 1KG                            ;17.55;26.325;0.5;100;1006
3332;CHA BALEEIRA 1KG                             ;18.85;18.85;0;0;1006
3333;CHA BARBATIMAO 1KG                           ;14.95;14.95;0;0;1006
3334;CHA BARDANA 1KG                              ;16.9;25.35;0.5;100;1006
3335;CHA BUGRE 1KG                                 ;5.85;5.85;0;0;1006
3336;CHA CABELO DE MILHO 1KG                      ;22.1;22.1;0;0;1006
3337;CHA CALENDULA 1KG                            ;39;58.5;0.5;100;1006
3338;CHA CAMOMILA 1KG                             ;39;58.5;0.5;100;1006
3339;CHA CANELA DE VELHO 1KG                      ;10.4;15.6;0.5;100;1006
3340;CHA CANELA RAMA 1KG                          ;77.95;77.95;0;0;1006
3341;CHA CAPIM LIMAO 1KG                          ;14;21;0.5;100;1006
3342;CHA CAROBINHA 1KG                            ;15.6;15.6;0;0;1006
3343;CHA CARQUEJA AMARGA 1KG                       ;7.8;7.8;0;0;1006
3344;CHA CARQUEJA DOCE 1KG                         ;7.8;7.8;0;0;1006
3345;CHA CASCARA SAGRADA 1KG                      ;117;175.5;0.5;100;1006
3346;CHA CASCARA SAGRADA EM PO 1KG                ;115.7;115.7;0;0;1006
3347;CHA CATUABA CASCA 1KG                         ;9.1;9.1;0;0;1006
3348;CHA CAVALINHA 1KG                            ;16.9;25.35;0.5;100;1006
3349;CHA CENTELLA 1KG                           ;36.4;54.6;0.5;100;1006
3350;CHA CHAPEU DE COURO 1KG                    ;18.2;27.3;0.5;100;1006
